,Intenção,Sentença
42,Interagir com a luz ou o ar-condicionado,Acenda a luz
43,Interagir com a luz ou o ar-condicionado,Está muito quente/frio
44,Obter informações relativas ao clima,Devo usar uma regata?
45,Obter informações relativas ao clima,preciso levar um guarda-chuva?
46,Interagir com a luz ou o ar-condicionado,Tempo estimado até minha casa
47,Interagir com a luz ou o ar-condicionado,Diminua a temperatura
48,Obter informações relativas ao clima,vai chover
49,Obter informações relativas ao clima,qual a temperatura máxima para a semana?
50,Obter informações relativas ao clima,FoxBot preciso de um guarda-chuva
51,Obter informações relativas ao clima,"Foxbot, devo levar capa de chuva?"
52,Obter informações relativas ao clima,Preciso de um guarda chuva hoje?
53,Consultar saldo da conta,Quantos reais tenho em minha conta?
54,Interagir com a luz ou o ar-condicionado,Qual é a temperatura do quarto?
55,Consultar saldo da conta,Consigo comprar uma televisão nova?
56,Consultar saldo da conta,Qual meu saldo bancário?
57,Interagir com a luz ou o ar-condicionado,está muito escuro
58,Obter informações relativas ao clima,qual a temperatura mínima para a semana?
59,Obter informações relativas ao clima,Vai chover?
60,Obter informações relativas ao clima,"Foxbot, vai nevar hoje?"
61,Interagir com a luz ou o ar-condicionado,+ luz
62,Obter informações relativas ao clima,Amanhã vai fazer calor?
63,Interagir com a luz ou o ar-condicionado,Preço do ethereum
64,Interagir com a luz ou o ar-condicionado,- luz
65,Obter informações relativas ao clima,Como estará o clima na segunda/terça/outro dia da semana?
66,Interagir com a luz ou o ar-condicionado,Está escuro em
67,Interagir com a luz ou o ar-condicionado,Aumente a temperatura do ar condicionado para 22 graus
68,Obter informações relativas ao clima,Vai fazer sol hoje?
69,Interagir com a luz ou o ar-condicionado,desligar luz
70,Obter informações relativas ao clima,qual é a intensidade da luz
71,Obter informações relativas ao clima,preciso levar um casaco?
72,Interagir com a luz ou o ar-condicionado,apague a luz daqui a meia hora
73,Interagir com a luz ou o ar-condicionado,Está escuro aqui
74,Interagir com a luz ou o ar-condicionado,"Foxbot, desligue o ar, está muito frio "
75,Interagir com a luz ou o ar-condicionado,diminua a temperatura do ar condicionado em 2 graus
76,Obter informações relativas ao clima,FoxBot está calor!
77,Interagir com a luz ou o ar-condicionado,"Foxbot, tô com frio. Desligue o ar."
78,Interagir com a luz ou o ar-condicionado,Ligar para amigo
79,Interagir com a luz ou o ar-condicionado,"Foxbot, acordei"
80,Interagir com a luz ou o ar-condicionado,"Foxbot, estou com calor"
81,Obter informações relativas ao clima,qual é a chance de chover hoje
82,Obter informações relativas ao clima,está quente?
83,Interagir com a luz ou o ar-condicionado,Mude a temperatura do ar para 15 graus
84,Obter informações relativas ao clima,FoxBot está frio aqui dentro
85,Obter informações relativas ao clima,está frio?
86,Obter informações relativas ao clima,Quanto graus está lá fora?
87,Interagir com a luz ou o ar-condicionado,"Foxbot, dá uma segurada na potência do ar aí"
88,Consultar saldo da conta,Quanto dinheiro tenho?
89,Obter informações relativas ao clima,Qual o clima de hoje?
90,Consultar saldo da conta,Quando é o fechamento pagamento da fatura do cartão
91,Interagir com a luz ou o ar-condicionado,Foxbot estou passando mal de calor
92,Consultar saldo da conta,Quanto eu dinheiro tenho?
93,Consultar saldo da conta,"Foxbot, quanta grana eu tenho?"
94,Consultar saldo da conta,FoxBot quanto posso gastar?
95,Interagir com a luz ou o ar-condicionado,esta muito quente
96,Consultar saldo da conta,Minha conta bancária está vazia?
97,Consultar saldo da conta,Minha conta está negativa?
98,Consultar saldo da conta,"Foxbot, diz aí quanto dinheiro eu tenho"
99,Interagir com a luz ou o ar-condicionado,"Foxbot, lumus"
100,Interagir com a luz ou o ar-condicionado,desligue o arcondicionado em 3 horas
101,Interagir com a luz ou o ar-condicionado,Minha internet caiu
102,Interagir com a luz ou o ar-condicionado,temperatura minima do ac
103,Interagir com a luz ou o ar-condicionado,FoxBot tenho medo do escuro
104,Interagir com a luz ou o ar-condicionado,Diminua a temperatura
105,Consultar saldo da conta,"Foxbot, estou negativado?"
106,Consultar saldo da conta,qunato tenho de din?
107,Obter informações relativas ao clima,FoxBot posso ir pra praia no fim de semana?
108,Interagir com a luz ou o ar-condicionado,"Foxbot, ligar tudo"
109,Interagir com a luz ou o ar-condicionado,Aumente a temperatura
110,Interagir com a luz ou o ar-condicionado,ligue o refrigerador de ambiente
111,Consultar saldo da conta,qual é $ na conta?
112,Obter informações relativas ao clima,"Foxbot, piscina hoje?"
113,Interagir com a luz ou o ar-condicionado,FoxBot esta frio aqui dentro
114,Obter informações relativas ao clima,como esta o aquecimento global
115,Obter informações relativas ao clima,"Foxbot, rola um piscininha hoje?"
116,Consultar saldo da conta,quantos kinderovos eu posso comprar com o meu saldo
117,Consultar saldo da conta,"Foxbot, quanto ainda posso gastar?"
118,Obter informações relativas ao clima,qual será o clima de terça feira que vem
119,Interagir com a luz ou o ar-condicionado,Aumente o ar
120,Consultar saldo da conta,qual é o meu maior custo atualmente
121,Interagir com a luz ou o ar-condicionado,Diminua o ar
122,Consultar saldo da conta,"Foxbot, quanto dinheiro tenho pra gastar?"
123,Obter informações relativas ao clima,qual é o clima da próxima quinta feira?
